	Date	Height (ft)
586	2021-11-16 18:12:00	1.61
587	2021-11-17 00:30:00	0.26
588	2021-11-17 07:00:00	2.33
589	2021-11-17 13:48:00	0.39
590	2021-11-17 18:54:00	2.01
591	2021-11-18 01:18:00	0.93
592	2021-11-18 07:24:00	2.97
593	2021-11-18 14:30:00	0.99
594	2021-11-18 19:30:00	2.32
595	2021-11-19 03:18:00	0.48
596	2021-11-19 07:30:00	2.68
597	2021-11-19 16:06:00	-0.2
598	2021-11-19 19:48:00	1.26
599	2021-11-19 23:24:00	0.05
600	2021-11-20 08:30:00	2.42
601	2021-11-20 15:36:00	0.43
602	2021-11-20 20:42:00	1.74
603	2021-11-21 02:36:00	0.84
604	2021-11-21 09:12:00	2.58
605	2021-11-21 16:06:00	0.82
606	2021-11-21 21:36:00	1.91
607	2021-11-22 00:54:00	1.19
608	2021-11-22 09:18:00	2.74
609	2021-11-22 17:24:00	1.01
610	2021-11-22 21:54:00	1.75
611	2021-11-23 00:42:00	1.14
612	2021-11-23 10:18:00	2.67
613	2021-11-23 19:24:00	0.86
614	2021-11-23 22:30:00	1.72
615	2021-11-24 04:36:00	0.77
616	2021-11-24 11:30:00	2.04
617	2021-11-24 19:42:00	0.69
618	2021-11-25 00:00:00	1.76
619	2021-11-25 05:18:00	1.16
620	2021-11-25 11:54:00	2.55
621	2021-11-25 20:18:00	1.06
622	2021-11-26 00:36:00	2.16
623	2021-11-26 03:36:00	1.65
624	2021-11-26 12:36:00	2.83
625	2021-11-26 21:18:00	0.47
626	2021-11-27 00:54:00	1.86
627	2021-11-27 09:18:00	0.84
628	2021-11-27 13:36:00	1.84
629	2021-11-27 21:54:00	0.29
630	2021-11-28 02:12:00	1.68
631	2021-11-28 10:00:00	0.91
632	2021-11-28 14:24:00	1.91
633	2021-11-28 22:12:00	0.68
634	2021-11-29 03:06:00	2.28
635	2021-11-29 11:06:00	0.83
636	2021-11-29 15:48:00	2.31
637	2021-11-29 23:06:00	0.66
638	2021-11-30 04:06:00	2.48
639	2021-11-30 11:42:00	0.3
640	2021-11-30 16:30:00	1.88
641	2021-11-30 23:18:00	0.24
642	2021-12-01 05:00:00	2.36
643	2021-12-01 12:36:00	-0.22
644	2021-12-01 17:30:00	1.98
645	2021-12-01 23:42:00	0.09
646	2021-12-02 06:06:00	3.1
647	2021-12-02 13:36:00	0.49
648	2021-12-02 18:12:00	2.71
649	2021-12-03 02:36:00	-0.08
650	2021-12-03 06:36:00	2.99
651	2021-12-03 14:24:00	-0.95
652	2021-12-03 18:54:00	1.46
653	2021-12-04 02:06:00	-0.52
654	2021-12-04 07:36:00	3.0
655	2021-12-04 15:12:00	-0.66
656	2021-12-04 19:42:00	2.14
657	2021-12-05 03:30:00	-0.34
658	2021-12-05 08:30:00	3.27
659	2021-12-05 16:12:00	-0.39
660	2021-12-05 21:00:00	1.96
661	2021-12-06 03:18:00	0.38
662	2021-12-06 09:36:00	3.69
663	2021-12-06 16:54:00	0.28
664	2021-12-06 21:36:00	2.75
665	2021-12-07 04:06:00	-0.32
666	2021-12-07 10:30:00	1.99
667	2021-12-07 17:48:00	-0.29
668	2021-12-07 22:42:00	1.46
669	2021-12-08 06:06:00	0.28
670	2021-12-08 11:06:00	2.8
671	2021-12-08 19:18:00	0.46
672	2021-12-08 23:42:00	2.38
673	2021-12-09 07:12:00	0.7
674	2021-12-09 12:18:00	3.05
675	2021-12-09 20:12:00	0.48
676	2021-12-10 00:48:00	2.07
677	2021-12-10 08:24:00	0.62
678	2021-12-10 13:36:00	1.9
679	2021-12-10 20:48:00	0.41
