Year Day,Temperature C,CO2,Battery,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated),Saturation Aragonite Out,Saturation Aragonite Out (MCHP73),"Saturation Aragonite Out (H73a,H73b,MCHP73)",Saturation Aragonite Out (MCHP73 refit),Saturation Aragonite Out (RRV93)
278.5626,17.71,2255.1,10.85,2021-10-05 13:30:08,11.65237,2021-10-05 13:33:42,25.649,1809.4354,0.4390453583011481,0.5389611059956874,0.46142270727194135,0.4401240895801033,0.48337563916192217
278.5834,17.69,2339.4,10.85,2021-10-05 14:00:05,11.65237,2021-10-05 14:03:42,25.739,1814.3494,0.42649494931342513,0.5194686115125502,0.44841779504546264,0.42756024597568676,0.46968149308756213
278.6043,17.92,2263.8,10.85,2021-10-05 14:30:11,11.65237,2021-10-05 14:33:42,25.87,1821.502,0.44621721169059236,0.5380881922072116,0.4689539583912551,0.4473244220010675,0.49162801726565125
278.6459,17.57,2274.1,10.88,2021-10-05 15:30:05,11.65237,2021-10-05 14:33:42,25.87,1821.502,0.44200355279547693,0.5328500913443749,0.46469081272330964,0.4431119464415668,0.4867495959380733
279.0209,18.26,2330.7,10.85,2021-10-06 00:30:05,11.65237,2021-10-06 00:33:42,26.274,1843.5604,0.44951557772524425,0.5261180071224617,0.47250445294045307,0.45065531440372825,0.4958985263568981
279.1043,17.54,2221.3,10.85,2021-10-06 02:30:11,11.65237,2021-10-06 03:03:42,25.502,1801.4092,0.43943214168971795,0.5463006425319669,0.4617871674888463,0.440500839423784,0.48351925859268213
279.1251,17.64,2280.3,10.85,2021-10-06 03:00:08,11.65237,2021-10-06 03:03:42,25.502,1801.4092,0.42902337312190986,0.5332661156629921,0.4509190978975936,0.4300718223154011,0.4721755216684755
279.5626,18.14,2393.4,10.85,2021-10-06 13:30:08,11.65237,2021-10-06 13:33:42,26.53,1857.538,0.4458235476427092,0.512859046747339,0.46885805316236373,0.44698417199680623,0.4920037807229128
279.5834,18.04,2352.1,10.85,2021-10-06 14:00:05,11.65237,2021-10-06 14:03:42,26.294,1844.6524,0.4447911643944881,0.51978335601042,0.4676838247428879,0.44593188471541706,0.49057382805635275
279.8751,18.92,2353.0,10.85,2021-10-06 21:00:08,11.65237,2021-10-06 21:03:42,25.351,1793.1646,0.41937702490172635,0.5288709029331128,0.44027627158077115,0.42034696617993467,0.4622670508586236
279.8959,18.97,2305.1,10.86,2021-10-06 21:30:05,11.65237,2021-10-06 21:33:42,26.028,1830.1288,0.4507206000222859,0.5371371833550032,0.47329270467481727,0.45180506847325286,0.49743552803886326
279.9168,18.95,1876.6,10.85,2021-10-06 22:00:11,11.65237,2021-10-06 22:03:42,25.921,1824.2866,0.5439935213216311,0.6546668474726307,0.5701515507842858,0.5452181781515694,0.5995967194087221
279.9376,18.9,1783.3,10.85,2021-10-06 22:30:08,11.65237,2021-10-06 22:33:42,26.232,1841.2672,0.5838282930210867,0.6868417312602848,0.6117403423316,0.5851535280627469,0.643583625420927
279.9584,18.92,1848.4,10.86,2021-10-06 23:00:05,11.65237,2021-10-06 23:03:42,26.581,1860.3226,0.5792650034777908,0.6655455447567459,0.6072627049524635,0.5806228836931431,0.6390525812590327
279.9793,18.92,1602.7,10.85,2021-10-06 23:30:11,11.65237,2021-10-06 23:33:42,26.494,1855.5724,0.6579448026361852,0.7609627698309424,0.6887569514376748,0.659412349171855,0.7250132234634931
280.0001,18.95,1604.7,10.85,2021-10-07 00:00:08,11.65237,2021-10-07 00:03:42,26.716,1867.6936,0.6681127252266956,0.7619535493578615,0.6994599306548438,0.6696220520569354,0.7364662705395978
280.0209,18.97,1654.4,10.85,2021-10-07 00:30:05,11.65237,2021-10-07 00:33:42,26.87,1876.102,0.6568476489434055,0.7421108977609947,0.687905212758171,0.6583579694542115,0.7243816518449786
280.0418,18.9,1458.1,10.85,2021-10-07 01:00:11,11.65237,2021-10-07 01:03:42,26.943,1880.0878,0.7415000988770697,0.8349648220617388,0.7756548125458174,0.7431530210258568,0.8168895666026958
280.0626,18.97,1491.4,10.85,2021-10-07 01:30:08,11.65237,2021-10-07 01:33:42,27.023,1884.4558,0.7310332815300112,0.8193237715136547,0.7648565305289746,0.732675856292014,0.8056452616135845
280.0834,18.95,1376.8,10.85,2021-10-07 02:00:05,11.65237,2021-10-07 02:03:42,27.056,1886.2576,0.7881675124859853,0.8821856789233121,0.8240009962952166,0.7899004468434648,0.8679847415275183
280.1043,18.95,1387.5,10.85,2021-10-07 02:30:11,11.65237,2021-10-07 02:33:42,27.023,1884.4558,0.7808042904228244,0.8755009025305528,0.8163563287973689,0.7825217568477805,0.8599082225061343
280.1251,18.97,1370.0,10.85,2021-10-07 03:00:08,11.65237,2021-10-07 03:03:42,27.032,1884.9472,0.7905586677009275,0.8860444021239776,0.826440153795171,0.7922897835725223,0.8705674156975683
280.1459,18.95,1322.2,10.85,2021-10-07 03:30:05,11.65237,2021-10-07 03:33:42,27.117,1889.5882,0.8211626805222769,0.9162752258367268,0.8581690223372481,0.822952278103503,0.9040204990674606
280.1668,18.73,1298.0,10.85,2021-10-07 04:00:11,11.65237,2021-10-07 04:03:42,27.184,1893.2464,0.8369110791669788,0.9308094777206943,0.8746272274660611,0.8387530600191931,0.9210868549441421
280.1876,18.92,1384.8,10.85,2021-10-07 04:30:08,11.65237,2021-10-07 04:33:42,27.134,1890.5164,0.7880940373452814,0.8783669980560339,0.8240134418253353,0.789840792379467,0.8680049484779369
280.2084,18.9,1281.6,10.85,2021-10-07 05:00:05,11.65237,2021-10-07 05:03:42,27.292,1899.1432,0.8545511727719413,0.9450029887774499,0.8928692444512439,0.856419985754635,0.940608370945843
280.2293,18.92,1274.9,10.85,2021-10-07 05:30:11,11.65237,2021-10-07 05:33:42,27.358,1902.7468,0.8627344161956101,0.9508718788387818,0.9013773979652105,0.8646232553532763,0.9496392301692226
280.2501,18.9,1292.2,10.85,2021-10-07 06:00:08,11.65237,2021-10-07 06:03:42,27.266,1897.7236,0.8466994116593904,0.9375311218885343,0.884730755421948,0.8485529007176538,0.9320215792077009
280.2709,18.83,1360.6,10.85,2021-10-07 06:30:05,11.65237,2021-10-07 06:33:42,27.117,1889.5882,0.7990634404786747,0.8915752891984207,0.8353886255361147,0.8008316156618183,0.8798549592111098
280.2918,18.64,1512.5,10.85,2021-10-07 07:00:11,11.65237,2021-10-07 07:03:42,27.043,1885.5478,0.7198634373022259,0.8060477185728896,0.7534860214393728,0.7215177301823723,0.7932205415411906
280.3126,18.66,1711.1,10.85,2021-10-07 07:30:08,11.65237,2021-10-07 07:33:42,27.012,1883.8552,0.6405621493868094,0.717867993611676,0.6712992282112975,0.6420866540250382,0.7065221484116461
280.3334,18.73,1762.4,10.85,2021-10-07 08:00:05,11.65237,2021-10-07 08:03:42,26.979,1882.0534,0.6221269351737833,0.6983211473300486,0.6521224722770353,0.6236130249617678,0.6863550457890812
280.3543,18.68,1795.4,10.85,2021-10-07 08:30:11,11.65237,2021-10-07 08:33:42,26.862,1875.6652,0.6058112686278374,0.6844849103785842,0.6351361559775204,0.6072604001851529,0.6683061894791479
280.3751,18.52,1853.8,10.85,2021-10-07 09:00:08,11.65237,2021-10-07 09:03:42,26.764,1870.3144,0.5823803909062727,0.6616995073883704,0.6108292352487625,0.5837894528718317,0.6424017097606767
280.3959,18.47,2023.5,10.85,2021-10-07 09:30:05,11.65237,2021-10-07 09:33:42,26.804,1872.4984,0.5371026035503449,0.6084058772277134,0.5638598793122208,0.5384417920268895,0.5927687087350203
280.4168,18.57,2006.9,10.85,2021-10-07 10:00:11,11.65237,2021-10-07 10:03:42,26.902,1877.8492,0.5459791109959837,0.6149802660505865,0.5731022484421412,0.5473386415744712,0.6026881966316022
280.4376,18.52,1986.1,10.85,2021-10-07 10:30:08,11.65237,2021-10-07 10:33:42,26.836,1874.2456,0.5483893384247841,0.6201098838767181,0.5755853234205546,0.54974882739453,0.6052227176060282
280.4584,18.54,2191.2,10.84,2021-10-07 11:00:05,11.65237,2021-10-07 11:03:42,26.844,1874.6824,0.49968781583333033,0.564354177697423,0.5249513302528085,0.5009607975487012,0.5517842756657684
280.4793,18.73,2116.3,10.84,2021-10-07 11:30:11,11.65237,2021-10-07 11:33:42,26.843,1874.6278,0.517941387493335,0.5851401611996901,0.5438448832361737,0.5192366607278524,0.5719637512139362
280.5001,18.83,1988.2,10.85,2021-10-07 12:00:08,11.65237,2021-10-07 12:03:42,27.0,1883.2,0.5567740062589378,0.6236772569379347,0.5842547735975776,0.5581469070941719,0.6148262810975387
